书名,原版年份,文体,关键词,英文版,日文版,Status,备注,格式
且听风吟,1979,"[""小说""]",[],Hear the Wind Sing  英文有书 与弹子球合本+pdf带页码,風の歌を聴け 有日文各种格式,Not started,,"[""epub"",""PDF""]"
1973年的弹子球,1980,"[""小说""]",[],"Pinball, 1973",1973年のピンボール  有日文epub,Not started,,"[""epub"",""PDF""]"
街和不确定的墙壁,1980,"[""中篇""]",[],,街と、その不確かな壁 有国立国会图书馆影印版,Not started,,"[""实体书""]"
寻羊冒险记,1982,"[""小说""]",[],A Wild Sheep Chase 英文有实体书+PDF带页码,羊をめぐる冒険 有日文epub,Not started,,"[""epub"",""PDF""]"
去中国的小船,1983,"[""短篇集""]",[],The Elephant Vanishes 有epub 英文实体书有,中国行きのスロウ·ボート,Not started,,"[""PDF"",""epub""]"
遇见百分之百的女孩,1983,"[""短篇集""]",[],,カンガルー日和,Not started,,"[""PDF"",""epub""]"
象厂喜剧,1983,"[""散文随笔""]",[],,象工場のハッピーエンド,In progress,,"[""PDF""]"
村上朝日堂,1984,"[""散文随笔""]",[],,村上朝日堂,Not started,,"[""PDF""]"
萤·烧仓房,1984,"[""短篇集""]",[],,螢·納屋を焼く·その他の短編,Not started,,"[""epub"",""PDF""]"
旋转木马鏖战记,1985,"[""短篇集""]",[],,回転木馬のデッド·ヒート,Not started,,"[""epub"",""PDF""]"
世界尽头与冷酷仙境,1985,"[""小说""]",[],Hard-Boiled Wonderland and the End of the World  有实体书+pdf带页码,世界の終りとハードボイルド·ワンダーランド  原文有txt,Not started,,"[""epub"",""PDF""]"
羊男的圣诞节,1985,"[""短篇"",""童话"",""绘本""]",[],,羊男のクリスマス,Not started,,"[""PDF""]"
村上朝日堂反击,1986,"[""散文随笔""]",[],,村上朝日堂の逆襲,Not started,,"[""实体书""]"
兰格汉斯岛的午后,1986,"[""散文随笔""]",[],,ランゲルハンス島の午後,Not started,,"[""实体书""]"
再袭面包店,1986,"[""短篇集""]",[],,パン屋再襲撃 有日文pdf,Not started,,"[""epub"",""PDF""]"
日出国的工厂,1987,"[""散文随笔""]",[],,日出る国の工場,Not started,,"[""PDF""]"
碎片：怀念的1980年,1987,"[""散文随笔""]",[],,"'The Scrap', 懐かしの一九八〇年代",Not started,,"[""PDF""]"
挪威的森林,1987,"[""小说""]",[],Norwegian Wood 有实体书和Pdf（带页码）,ノルウェイの森 有epub,Not started,,"[""epub"",""PDF""]"
